Outcome,Group 1,Group 2,t-statistic,raw p-value,FDR (BH) p-value,Significant (FDR < 0.05)
rouge1,128,256,4.353946746199436,0.0025007077019440966,0.005456089531514393,True
rouge1,128,512,7.0481261714319805,0.00014680335782430018,0.0007046561175566409,True
rouge1,128,1024,14.618760927692875,1.5262488205097692e-06,7.109371191258905e-05,True
rouge1,256,512,2.9495185306207143,0.01893073780627886,0.025240983741705147,True
rouge1,256,1024,8.555351159560145,8.019291617586002e-05,0.0005498942823487544,True
rouge1,512,1024,4.164311660135951,0.005815336106221312,0.009969147610665106,True
rouge2,128,256,3.00132086946313,0.01718928402173075,0.02426722450126694,True
rouge2,128,512,4.885779727686359,0.0012522011824650122,0.0030841579237978556,True
rouge2,128,1024,10.330224496744544,5.225865637051126e-05,0.0005016831011569081,True
rouge2,256,512,1.829381865805013,0.10474342800239275,0.11970677485987744,False
rouge2,256,1024,5.924122758745543,0.00128506580158244,0.0030841579237978556,True
rouge2,512,1024,3.519565848254881,0.014034771390519072,0.020414212931664105,True
rougeL,128,256,3.8069961554327985,0.0055747320530968435,0.009910634761061056,True
rougeL,128,512,6.273764074254446,0.0002813358162314147,0.0010033117631849842,True
rougeL,128,1024,13.20079180710834,5.63863527368211e-06,9.021816437891376e-05,True
rougeL,256,512,2.251057580356447,0.05447733732911155,0.06537280479493386,False
rougeL,256,1024,6.890193440637692,0.0005187952288104827,0.001464833587229598,True
rougeL,512,1024,4.038014564586716,0.007212391124061629,0.011539825798498608,True
rougeLsum,128,256,3.9281944817238155,0.004438161817117869,0.008193529508525298,True
rougeLsum,128,512,6.50445502768233,0.00023538114018411378,0.0009415245607364551,True
rougeLsum,128,1024,13.638754182660609,2.962237996357877e-06,7.109371191258905e-05,True
rougeLsum,256,512,2.791679649338723,0.023981802485609743,0.03029280313971757,True
rougeLsum,256,1024,8.223736129256757,0.00010892776716790217,0.0006157243738660145,True
rougeLsum,512,1024,4.083903547062567,0.0064415628794150205,0.010661897179721413,True
bert_score_P,128,256,0.4492112801689761,0.6656713194053054,0.6946135506837969,False
bert_score_P,128,512,0.20038568816883648,0.8462927292532243,0.8462927292532243,False
bert_score_P,128,1024,6.2881491598210255,0.0007096280402604444,0.0018923414406945185,True
bert_score_P,256,512,-0.2666700485199162,0.7964850820026202,0.813431573109059,False
bert_score_P,256,1024,6.7214229056984935,0.0002936261362378725,0.0010033117631849842,True
bert_score_P,512,1024,6.795389633327623,0.00031353492599530753,0.0010033117631849842,True
bert_score_R,128,256,4.04928239186062,0.0040163676280041485,0.008032735256008297,True
bert_score_R,128,512,4.588671058531425,0.002743854577806764,0.005726305205857594,True
bert_score_R,128,1024,9.550384689956907,1.379462547796611e-05,0.00016553550573559332,True
bert_score_R,256,512,1.0737398768277828,0.31603862272770716,0.3527872997890684,False
bert_score_R,256,1024,4.123331143892763,0.0042160356226708315,0.008094788395527996,True
bert_score_R,512,1024,2.253029642332388,0.06375062049350147,0.07463487277287978,False
bert_score_F1,128,256,2.8843333242107407,0.020597437140464712,0.026720999533575842,True
bert_score_F1,128,512,2.9714276437025777,0.018481942644987447,0.025240983741705147,True
bert_score_F1,128,1024,7.921463398098786,0.00011544832009987773,0.0006157243738660145,True
bert_score_F1,256,512,0.5022338020727886,0.630041164034415,0.672043908303376,False
bert_score_F1,256,1024,4.9802333375892145,0.001486636551671248,0.0033980264038199954,True
bert_score_F1,512,1024,3.4951818225131106,0.012632038059511273,0.01894805708926691,True
sts_score,128,256,2.969919448318666,0.026304803745751632,0.03237514307169432,True
sts_score,128,512,3.400908985249516,0.012368004238863646,0.01894805708926691,True
sts_score,128,1024,7.918279783138212,6.514225501859312e-05,0.000521138040148745,True
sts_score,256,512,0.8972246828507977,0.39731283723391386,0.4334321860733606,False
sts_score,256,1024,7.377184940526506,0.00019486064149508078,0.0008503009810694435,True
sts_score,512,1024,6.090528962433322,0.00035941031353687,0.0010782309406106101,True
