chunk_size,questions_num,qa_count_mismatch,total_questions,token_Size,total_chunks,success_count,fail_count,elapsed_time
128,2,0,2,128,2,1,1,0:00:15.952591
128,2,1,3,256,2,2,0,0:00:12.907497
128,2,0,4,512,2,2,0,0:00:11.561812
128,2,1,3,1024,2,2,0,0:00:08.022638
128,2,0,4,2048,2,2,0,0:00:10.075716
256,2,0,4,128,2,2,0,0:00:04.129351
256,2,0,2,256,2,1,1,0:00:19.872695
256,2,0,4,512,2,2,0,0:00:24.640932
256,2,0,2,1024,2,1,1,0:00:58.002605
256,2,1,3,2048,2,2,0,0:00:19.310953
512,2,0,0,128,2,0,2,0:00:10.533456
512,2,0,2,256,2,1,1,0:00:13.686030
512,2,0,4,512,2,2,0,0:00:10.143590
512,2,0,2,1024,2,1,1,0:00:08.870271
512,2,1,3,2048,2,2,0,0:00:12.428579
1024,2,0,0,128,2,0,2,0:00:05.830354
1024,2,1,3,256,2,1,1,0:00:09.295183
1024,2,0,0,512,2,0,2,0:00:22.088089
1024,2,0,2,1024,2,1,1,0:00:22.623307
1024,2,0,2,2048,2,1,1,0:01:38.175827
